<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.07.09	00:00:04.629	1.08236	1.08236			6
2024.07.09	00:00:05.286	1.08244	1.08244			6
2024.07.09	00:00:17.525	1.08243	1.08243			6
2024.07.09	00:01:57.978	1.08243	1.08243			6
2024.07.09	00:02:59.024	1.08246	1.08246			6
2024.07.09	00:02:59.529	1.08243	1.08243			6
2024.07.09	00:03:04.724	1.08244	1.08244			6
2024.07.09	00:04:01.107	1.08248	1.08248			6
2024.07.09	00:04:01.853	1.08244	1.08244			6
2024.07.09	00:04:44.408	1.08250	1.08250			6
2024.07.09	00:05:00.180	1.08248	1.08248			6
2024.07.09	00:05:00.825	1.08244	1.08244			6
2024.07.09	00:05:03.138	1.08248	1.08248			6
2024.07.09	00:05:03.916	1.08244	1.08244			6
2024.07.09	00:05:35.534	1.08246	1.08246			6
2024.07.09	00:05:35.563	1.08248	1.08248			6
2024.07.09	00:07:43.452	1.08245	1.08245			6
2024.07.09	00:08:16.801	1.08248	1.08248			6
2024.07.09	00:09:22.588	1.08246	1.08246			6
2024.07.09	00:15:00.634	1.08247	1.08247			6
2024.07.09	00:17:06.508	1.08246	1.08246			6
2024.07.09	00:21:11.449	1.08247	1.08247			6
2024.07.09	00:21:41.758	1.08246	1.08246			6
2024.07.09	00:21:41.920	1.08247	1.08247			6
2024.07.09	00:21:42.859	1.08246	1.08246			6
2024.07.09	00:22:32.304	1.08247	1.08247			6
2024.07.09	00:22:38.077	1.08246	1.08246			6
2024.07.09	00:22:43.414	1.08247	1.08247			6
2024.07.09	00:22:43.586	1.08246	1.08246			6
2024.07.09	00:22:44.556	1.08244	1.08244			6
2024.07.09	00:23:09.455	1.08243	1.08243			6
2024.07.09	00:23:18.798	1.08246	1.08246			6
2024.07.09	00:24:10.062	1.08247	1.08247			6
2024.07.09	00:24:10.235	1.08246	1.08246			6
2024.07.09	00:24:25.281	1.08247	1.08247			6
2024.07.09	00:24:25.462	1.08246	1.08246			6
2024.07.09	00:24:43.535	1.08247	1.08247			6
2024.07.09	00:24:45.647	1.08246	1.08246			6
2024.07.09	00:25:44.321	1.08247	1.08247			6
2024.07.09	00:25:54.205	1.08246	1.08246			6
2024.07.09	00:25:54.436	1.08247	1.08247			6
2024.07.09	00:26:04.328	1.08246	1.08246			6
2024.07.09	00:26:04.534	1.08247	1.08247			6
2024.07.09	00:26:13.817	1.08246	1.08246			6
2024.07.09	00:26:14.028	1.08247	1.08247			6
2024.07.09	00:26:14.089	1.08246	1.08246			6
2024.07.09	00:26:43.851	1.08247	1.08247			6
2024.07.09	00:26:44.005	1.08246	1.08246			6
2024.07.09	00:26:44.740	1.08247	1.08247			6
2024.07.09	00:27:45.335	1.08246	1.08246			6
2024.07.09	00:27:45.528	1.08247	1.08247			6
2024.07.09	00:29:16.187	1.08246	1.08246			6
2024.07.09	00:29:16.366	1.08247	1.08247			6
2024.07.09	00:29:19.424	1.08244	1.08244			6
2024.07.09	00:29:44.352	1.08245	1.08245			6
2024.07.09	00:29:44.413	1.08247	1.08247			6
2024.07.09	00:29:45.124	1.08245	1.08245			6
2024.07.09	00:30:36.945	1.08244	1.08244			6
2024.07.09	00:30:37.367	1.08245	1.08245			6
2024.07.09	00:33:25.023	1.08247	1.08247			6
2024.07.09	00:33:25.808	1.08245	1.08245			6
2024.07.09	00:33:54.300	1.08244	1.08244			6
2024.07.09	00:33:54.597	1.08246	1.08246			6
2024.07.09	00:33:58.583	1.08247	1.08247			6
2024.07.09	00:34:01.112	1.08246	1.08246			6
2024.07.09	00:34:34.250	1.08247	1.08247			6
